sr_no,admission_no,pen_no,name,roll_no,class,class_name,section,class_sec,father_name,mother_name,guardian_name,mobile,contact,contact_phone,address,gender,dob,category,house,transport_opted,uses_transport,bus_route,total_fee,paid_fee,balance_fee,fees_due,status
"SR-2024-1024","ADM-5024","PEN-RJ-2024-169651","Naresh Maheshwari","24","Nursery","Nursery","A","Nursery - A","Jethmal Maheshwari","Urmila","Jethmal Maheshwari","8769593610","8769593610","8769593610","Chohtan Circle, Highway Link, Barmer","Male","2022-01-10","ST","Shivaji",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1025","ADM-5025","PEN-RJ-2024-280954","Paras Verma","25","Nursery","Nursery","A","Nursery - A","Narpat Singh Verma","Nirmala","Narpat Singh Verma","9784292381","9784292381","9784292381","Uttarlai Road, Near KV School, Barmer","Male","2022-04-22","OBC","Shivaji",false,false,"",24000,12000,12000,12000,"Active"
"SR-2024-1026","ADM-5026","PEN-RJ-2024-232812","Kuldeep Trivedi","26","Nursery","Nursery","A","Nursery - A","Shaitan Singh Trivedi","Nirmala","Shaitan Singh Trivedi","9828250564","9828250564","9828250564","Plot 42, Civil Lines, Barmer","Male","2022-04-24","SC","Shivaji",false,false,"",24000,18000,6000,6000,"Active"
"SR-2024-1027","ADM-5027","PEN-RJ-2024-492896","Renu Dadhich","27","Nursery","Nursery","A","Nursery - A","Khimraj Dadhich","Pushpa Devi","Khimraj Dadhich","8769912917","8769912917","8769912917","Jasol Road, Balotra Highway, Barmer","Female","2022-12-05","General","Ashoka",false,false,"",24000,12000,12000,12000,"Active"
"SR-2024-1028","ADM-5028","PEN-RJ-2024-328548","Amar Panwar","28","Nursery","Nursery","A","Nursery - A","Suresh Panwar","Chandra Kanwar","Suresh Panwar","9829969744","9829969744","9829969744","Baldev Nagar, Near Ratan Singh Circle, Barmer","Male","2022-12-20","ST","Shivaji",false,false,"",24000,18000,6000,6000,"Active"
"SR-2024-1029","ADM-5029","PEN-RJ-2024-736893","Chhavi Gehlot","29","Nursery","Nursery","A","Nursery - A","Vimalchand Gehlot","Sugan Kanwar","Vimalchand Gehlot","9829427317","9829427317","9829427317","Uttarlai Road, Near KV School, Barmer","Female","2022-05-15","OBC","Ashoka",true,true,"Route 7 (Sindhari Road - Kalyanpura)",36000,36000,0,0,"Active"
"SR-2024-1030","ADM-5030","PEN-RJ-2024-570706","Laxman Bhati","30","Nursery","Nursery","A","Nursery - A","Khimraj Bhati","Urmila","Khimraj Bhati","9828202404","9828202404","9828202404","Baytu Link Road, Barmer","Male","2022-06-17","SC","Shivaji",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1031","ADM-5031","PEN-RJ-2024-530487","Prisha Joshi","31","Nursery","Nursery","A","Nursery - A","Mahendra Joshi","Prem Kanwar","Mahendra Joshi","9829451885","9829451885","9829451885","Sindhari Road, Near Bus Stand, Barmer","Female","2022-03-17","OBC","Shivaji",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1032","ADM-5032","PEN-RJ-2024-372729","Kamla Choudhary","32","Nursery","Nursery","A","Nursery - A","Vimalchand Choudhary","Prem Kanwar","Vimalchand Choudhary","8769315185","8769315185","8769315185","Baytu Link Road, Barmer","Female","2022-02-23","OBC","Ashoka",false,false,"",24000,18000,6000,6000,"Active"
"SR-2024-1033","ADM-5033","PEN-RJ-2024-938825","Payal Verma","33","Nursery","Nursery","A","Nursery - A","Bhawani Singh Verma","Anand Kanwar","Bhawani Singh Verma","9828948984","9828948984","9828948984","Sindhari Road, Near Bus Stand, Barmer","Female","2022-06-12","OBC","Shivaji",false,false,"",24000,18000,6000,6000,"Active"
"SR-2024-1034","ADM-5034","PEN-RJ-2024-676670","Ritu Kumhar","34","Nursery","Nursery","A","Nursery - A","Tarachand Kumhar","Sushila","Tarachand Kumhar","9460389563","9460389563","9460389563","Ramsar Road, Barmer","Female","2022-01-24","OBC","Ashoka",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1035","ADM-5035","PEN-RJ-2024-737374","Nirmala Soni","35","Nursery","Nursery","A","Nursery - A","Kailash Soni","Urmila","Kailash Soni","9784796354","9784796354","9784796354","Tilak Nagar, Barmer","Female","2022-10-14","SC","Raman",true,true,"Route 8 (Rai Colony - Civil Lines)",36000,0,36000,36000,"Active"
"SR-2024-1036","ADM-5036","PEN-RJ-2024-339137","Anvi Choudhary","01","LKG","LKG","A","LKG - A","Pabu Ram Choudhary","Kamla Devi","Pabu Ram Choudhary","9828539473","9828539473","9828539473","Panch Batti Circle, Barmer","Female","2021-08-14","OBC","Tagore",false,false,"",24000,14500,9500,9500,"Active"
"SR-2024-1037","ADM-5037","PEN-RJ-2024-962398","Arjun Maheshwari","02","LKG","LKG","A","LKG - A","Ashok Maheshwari","Mohan Kanwar","Ashok Maheshwari","9784933048","9784933048","9784933048","Laxmi Nagar, Street 3, Barmer","Male","2021-08-09","ST","Shivaji",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1038","ADM-5038","PEN-RJ-2024-374926","Sunita Rajput","03","LKG","LKG","A","LKG - A","Gopal Rajput","Parvati Devi","Gopal Rajput","8769662818","8769662818","8769662818","Laxmi Nagar, Street 3, Barmer","Female","2021-01-21","OBC","Ashoka",false,false,"",24000,9500,14500,14500,"Active"
"SR-2024-1039","ADM-5039","PEN-RJ-2024-907025","Narpat Sharma","04","LKG","LKG","A","LKG - A","Mangi Lal Sharma","Savitri Devi","Mangi Lal Sharma","9784398133","9784398133","9784398133","Opp. Collectorate, Mahaveer Nagar, Barmer","Male","2021-11-17","ST","Shivaji",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1040","ADM-5040","PEN-RJ-2024-530913","Asha Sharma","05","LKG","LKG","A","LKG - A","Rikhabdas Sharma","Laxmi Devi","Rikhabdas Sharma","9829198859","9829198859","9829198859","Laxmi Nagar, Street 3, Barmer","Female","2021-08-21","ST","Tagore",false,false,"",24000,12000,12000,12000,"Active"
"SR-2024-1041","ADM-5041","PEN-RJ-2024-393396","Preeti Choudhary","06","LKG","LKG","A","LKG - A","Sohan Lal Choudhary","Nirmala","Sohan Lal Choudhary","9829453162","9829453162","9829453162","Laxmi Nagar, Street 3, Barmer","Female","2021-08-05","General","Ashoka",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1042","ADM-5042","PEN-RJ-2024-102339","Varsha Gaur","07","LKG","LKG","A","LKG - A","Jabbar Singh Gaur","Manju","Jabbar Singh Gaur","9414227548","9414227548","9414227548","Sindhari Road, Near Bus Stand, Barmer","Female","2021-02-16","General","Raman",true,true,"Route 7 (Sindhari Road - Kalyanpura)",36000,14500,21500,21500,"Active"
"SR-2024-1043","ADM-5043","PEN-RJ-2024-104065","Virendra Dadhich","08","LKG","LKG","A","LKG - A","Jethmal Dadhich","Chandra Kanwar","Jethmal Dadhich","9829706592","9829706592","9829706592","Laxmi Nagar, Street 3, Barmer","Male","2021-05-24","SC","Ashoka",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1044","ADM-5044","PEN-RJ-2024-951050","Rampal Rathore","09","LKG","LKG","A","LKG - A","Vimalchand Rathore","Durga Devi","Vimalchand Rathore","9828796640","9828796640","9828796640","Station Road, Near Soni Dharmshala, Barmer","Male","2021-04-08","SC","Ashoka",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1045","ADM-5045","PEN-RJ-2024-951258","Gajendra Raika","10","LKG","LKG","A","LKG - A","Jethmal Raika","Sushila","Jethmal Raika","9460364088","9460364088","9460364088","Opp. Collectorate, Mahaveer Nagar, Barmer","Male","2021-10-02","General","Shivaji",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1046","ADM-5046","PEN-RJ-2024-257907","Dinesh Panwar","11","LKG","LKG","A","LKG - A","Prem Singh Panwar","Chandra Kanwar","Prem Singh Panwar","9829617854","9829617854","9829617854","Khatan Kocha, Inside City, Barmer","Male","2021-12-01","ST","Ashoka",true,true,"Route 2 (Indira Colony - Shastri Nagar)",36000,36000,0,0,"Active"
"SR-2024-1047","ADM-5047","PEN-RJ-2024-776686","Satyapal Suthar","12","LKG","LKG","A","LKG - A","Mahendra Suthar","Sunita","Mahendra Suthar","9828800282","9828800282","9828800282","Shastri Nagar, Sector 2, Barmer","Male","2021-06-24","General","Raman",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1048","ADM-5048","PEN-RJ-2024-258210","Sapna Sharma","13","LKG","LKG","A","LKG - A","Shaitan Singh Sharma","Manju","Shaitan Singh Sharma","9460498648","9460498648","9460498648","Khatan Kocha, Inside City, Barmer","Female","2021-04-17","General","Shivaji",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1049","ADM-5049","PEN-RJ-2024-337576","Sneha Charan","14","LKG","LKG","A","LKG - A","Jabbar Singh Charan","Savitri Devi","Jabbar Singh Charan","9784786740","9784786740","9784786740","Opp. Collectorate, Mahaveer Nagar, Barmer","Female","2021-02-16","ST","Raman",true,true,"Route 6 (Uttarlai Road - Airforce Area)",36000,36000,0,0,"Active"
"SR-2024-1050","ADM-5050","PEN-RJ-2024-911258","Swati Maheshwari","15","LKG","LKG","A","LKG - A","Bhanwar Singh Maheshwari","Sugan Kanwar","Bhanwar Singh Maheshwari","9784775079","9784775079","9784775079","Panch Batti Circle, Barmer","Female","2021-04-03","ST","Raman",true,true,"Route 7 (Sindhari Road - Kalyanpura)",36000,36000,0,0,"Active"
"SR-2024-1051","ADM-5051","PEN-RJ-2024-684818","Ratan Trivedi","16","LKG","LKG","A","LKG - A","Jabbar Singh Trivedi","Urmila","Jabbar Singh Trivedi","9829296043","9829296043","9829296043","Baldev Nagar, Near Ratan Singh Circle, Barmer","Male","2021-08-27","ST","Shivaji",false,false,"",24000,12000,12000,12000,"Active"
"SR-2024-1052","ADM-5052","PEN-RJ-2024-604521","Sunita Meena","17","LKG","LKG","A","LKG - A","Prem Singh Meena","Durga Devi","Prem Singh Meena","9414477609","9414477609","9414477609","Ramsar Road, Barmer","Female","2021-07-03","SC","Tagore",false,false,"",24000,9500,14500,14500,"Active"
"SR-2024-1053","ADM-5053","PEN-RJ-2024-305884","Ratan Raika","18","LKG","LKG","A","LKG - A","Shaitan Singh Raika","Savitri Devi","Shaitan Singh Raika","9414481799","9414481799","9414481799","Station Road, Near Soni Dharmshala, Barmer","Male","2021-07-16","ST","Shivaji",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1054","ADM-5054","PEN-RJ-2024-391669","Naresh Singhal","19","LKG","LKG","A","LKG - A","Dinesh Singhal","Durga Devi","Dinesh Singhal","9784981786","9784981786","9784981786","Ramsar Road, Barmer","Male","2021-08-25","General","Shivaji",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1055","ADM-5055","PEN-RJ-2024-377512","Ansh Bhati","20","LKG","LKG","A","LKG - A","Suresh Bhati","Kamla Devi","Suresh Bhati","9460985826","9460985826","9460985826","Laxmi Nagar, Street 3, Barmer","Male","2021-10-10","SC","Raman",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1056","ADM-5056","PEN-RJ-2024-589527","Aman Chauhan","21","LKG","LKG","A","LKG - A","Mohan Lal Chauhan","Sita Devi","Mohan Lal Chauhan","9414463420","9414463420","9414463420","Panch Batti Circle, Barmer","Male","2021-07-28","ST","Raman",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1057","ADM-5057","PEN-RJ-2024-245941","Manish Panwar","22","LKG","LKG","A","LKG - A","Bhagwan Das Panwar","Savitri Devi","Bhagwan Das Panwar","9829524013","9829524013","9829524013","Sindhari Road, Near Bus Stand, Barmer","Male","2021-07-06","ST","Tagore",false,false,"",24000,14500,9500,9500,"Active"
"SR-2024-1058","ADM-5058","PEN-RJ-2024-878210","Pawan Shekhawat","23","LKG","LKG","A","LKG - A","Ramesh Chand Shekhawat","Kamla Devi","Ramesh Chand Shekhawat","9460770293","9460770293","9460770293","Opp. Collectorate, Mahaveer Nagar, Barmer","Male","2021-09-23","ST","Raman",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1059","ADM-5059","PEN-RJ-2024-847098","Advaith Mathur","24","LKG","LKG","A","LKG - A","Shaitan Singh Mathur","Geeta Devi","Shaitan Singh Mathur","8769597375","8769597375","8769597375","Uttarlai Road, Near KV School, Barmer","Male","2021-04-22","ST","Raman",true,true,"Route 2 (Indira Colony - Shastri Nagar)",36000,14500,21500,21500,"Active"
"SR-2024-1060","ADM-5060","PEN-RJ-2024-794566","Lokendra Garg","25","LKG","LKG","A","LKG - A","Loonkaran Garg","Prem Kanwar","Loonkaran Garg","9460695455","9460695455","9460695455","Panch Batti Circle, Barmer","Male","2021-01-14","ST","Ashoka",false,false,"",24000,14500,9500,9500,"Active"
"SR-2024-1061","ADM-5061","PEN-RJ-2024-623887","Anil Goyal","26","LKG","LKG","A","LKG - A","Hanuman Ram Goyal","Anand Kanwar","Hanuman Ram Goyal","9460360498","9460360498","9460360498","Panch Batti Circle, Barmer","Male","2021-05-04","OBC","Raman",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1062","ADM-5062","PEN-RJ-2024-410565","Gopal Rajput","27","LKG","LKG","A","LKG - A","Sumer Singh Rajput","Anita","Sumer Singh Rajput","9460838333","9460838333","9460838333","Panch Batti Circle, Barmer","Male","2021-04-25","General","Raman",false,false,"",24000,14500,9500,9500,"Active"
"SR-2024-1063","ADM-5063","PEN-RJ-2024-730575","Amar Bansal","28","LKG","LKG","A","LKG - A","Gopal Bansal","Durga Devi","Gopal Bansal","9414102392","9414102392","9414102392","Jasol Road, Balotra Highway, Barmer","Male","2021-04-24","SC","Ashoka",false,false,"",24000,9500,14500,14500,"Active"
"SR-2024-1064","ADM-5064","PEN-RJ-2024-358242","Anaya Joshi","29","LKG","LKG","A","LKG - A","Mangi Lal Joshi","Prem Kanwar","Mangi Lal Joshi","9828580758","9828580758","9828580758","Station Road, Near Soni Dharmshala, Barmer","Female","2021-03-09","SC","Ashoka",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1065","ADM-5065","PEN-RJ-2024-699667","Khushi Kumhar","30","LKG","LKG","A","LKG - A","Jagdish Prasad Kumhar","Geeta Devi","Jagdish Prasad Kumhar","9829791842","9829791842","9829791842","Ramsar Road, Barmer","Female","2021-07-26","SC","Tagore",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1066","ADM-5066","PEN-RJ-2024-297709","Shaitan Solanki","31","LKG","LKG","A","LKG - A","Teja Ram Solanki","Prem Kanwar","Teja Ram Solanki","9414225829","9414225829","9414225829","Nehru Nagar, Main Road, Barmer","Male","2021-11-24","General","Tagore",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1067","ADM-5067","PEN-RJ-2024-359256","Ram Shekhawat","32","LKG","LKG","A","LKG - A","Mohan Lal Shekhawat","Parvati Devi","Mohan Lal Shekhawat","9460990104","9460990104","9460990104","Opp. Collectorate, Mahaveer Nagar, Barmer","Male","2021-02-14","OBC","Tagore",true,true,"Route 7 (Sindhari Road - Kalyanpura)",36000,27000,9000,9000,"Active"
"SR-2024-1068","ADM-5068","PEN-RJ-2024-298855","Omprakash Singhal","33","LKG","LKG","A","LKG - A","Uttamchand Singhal","Pushpa Devi","Uttamchand Singhal","9829587122","9829587122","9829587122","Panch Batti Circle, Barmer","Male","2021-03-19","OBC","Raman",true,true,"Route 6 (Uttarlai Road - Airforce Area)",36000,27000,9000,9000,"Active"
"SR-2024-1069","ADM-5069","PEN-RJ-2024-901563","Alka Meghwal","34","LKG","LKG","A","LKG - A","Jethmal Meghwal","Nirmala","Jethmal Meghwal","9784925748","9784925748","9784925748","Opp. Collectorate, Mahaveer Nagar, Barmer","Female","2021-05-19","OBC","Raman",false,false,"",24000,14500,9500,9500,"Active"
"SR-2024-1070","ADM-5070","PEN-RJ-2024-842307","Kailash Bansal","35","LKG","LKG","A","LKG - A","Narpat Singh Bansal","Chandra Kanwar","Narpat Singh Bansal","8769136390","8769136390","8769136390","Sindhari Road, Near Bus Stand, Barmer","Male","2021-09-08","OBC","Shivaji",false,false,"",24000,14500,9500,9500,"Active"
"SR-2024-1071","ADM-5071","PEN-RJ-2024-634445","Rahul Gehlot","01","LKG","LKG","B","LKG - B","Shaitan Singh Gehlot","Parvati Devi","Shaitan Singh Gehlot","9414365228","9414365228","9414365228","Jasol Road, Balotra Highway, Barmer","Male","2021-01-01","ST","Ashoka",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1072","ADM-5072","PEN-RJ-2024-759987","Preeti Bhati","02","LKG","LKG","B","LKG - B","Jagdish Prasad Bhati","Pushpa Devi","Jagdish Prasad Bhati","9414965650","9414965650","9414965650","Opp. Collectorate, Mahaveer Nagar, Barmer","Female","2021-01-11","General","Raman",true,true,"Route 4 (Mahaveer Nagar - Collectorate)",36000,0,36000,36000,"Active"
"SR-2024-1073","ADM-5073","PEN-RJ-2024-321500","Ansh Singhal","03","LKG","LKG","B","LKG - B","Ram Chandra Singhal","Chandra Kanwar","Ram Chandra Singhal","9828729281","9828729281","9828729281","Sadar Bazaar, Near Old Fort, Barmer","Male","2021-04-09","General","Tagore",true,true,"Route 5 (Chohtan Circle - Tilak Nagar)",36000,36000,0,0,"Active"
"SR-2024-1074","ADM-5074","PEN-RJ-2024-274179","Gopal Dave","04","LKG","LKG","B","LKG - B","Ashok Dave","Manju","Ashok Dave","9784972008","9784972008","9784972008","Baldev Nagar, Near Ratan Singh Circle, Barmer","Male","2021-08-15","SC","Tagore",true,true,"Route 2 (Indira Colony - Shastri Nagar)",36000,27000,9000,9000,"Active"
"SR-2024-1075","ADM-5075","PEN-RJ-2024-929449","Harsh Solanki","05","LKG","LKG","B","LKG - B","Jagdish Prasad Solanki","Meenakshi","Jagdish Prasad Solanki","9414585321","9414585321","9414585321","Baytu Link Road, Barmer","Male","2021-09-04","OBC","Tagore",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1076","ADM-5076","PEN-RJ-2024-772623","Dinesh Verma","06","LKG","LKG","B","LKG - B","Bhanwar Singh Verma","Parvati Devi","Bhanwar Singh Verma","9829487905","9829487905","9829487905","Station Road, Near Soni Dharmshala, Barmer","Male","2021-01-01","ST","Ashoka",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1077","ADM-5077","PEN-RJ-2024-688029","Suresh Garg","07","LKG","LKG","B","LKG - B","Prem Singh Garg","Laxmi Devi","Prem Singh Garg","9828992910","9828992910","9828992910","Panch Batti Circle, Barmer","Male","2021-05-08","OBC","Shivaji",true,true,"Route 6 (Uttarlai Road - Airforce Area)",36000,18000,18000,18000,"Active"
"SR-2024-1078","ADM-5078","PEN-RJ-2024-970612","Nikhil Mathur","08","LKG","LKG","B","LKG - B","Sumer Singh Mathur","Gulab Kanwar","Sumer Singh Mathur","9829842750","9829842750","9829842750","Kalyanpura, Barmer","Male","2021-08-19","ST","Raman",true,true,"Route 6 (Uttarlai Road - Airforce Area)",36000,36000,0,0,"Active"
"SR-2024-1079","ADM-5079","PEN-RJ-2024-154781","Saroj Dewasi","09","LKG","LKG","B","LKG - B","Tarachand Dewasi","Sayar Kanwar","Tarachand Dewasi","9414594906","9414594906","9414594906","Shastri Nagar, Sector 2, Barmer","Female","2021-11-04","SC","Ashoka",true,true,"Route 2 (Indira Colony - Shastri Nagar)",36000,36000,0,0,"Active"
"SR-2024-1080","ADM-5080","PEN-RJ-2024-262780","Ajay Dewasi","10","LKG","LKG","B","LKG - B","Suresh Dewasi","Meenakshi","Suresh Dewasi","9460127831","9460127831","9460127831","Sadar Bazaar, Near Old Fort, Barmer","Male","2021-11-14","SC","Raman",false,false,"",24000,24000,0,0,"Active"
